id,name,remark,description
277,##Monastery Charm,Cures poison and restores HP,"A blessed charm. Cures poison and restores HP.

Many such charms were blessed in
reconstructed ancient ceremonies,
carried out in the monastery of Lindelt,
now known as the new home of miracles.

Though it may lack the power of an original,
in circumstances dire enough,
an imitation can be quite enough."
301,##Holy Water Urn,Cleanse Undead with holy essence,"An urn filled with crystal-clear water.
Originally intended as a soothing potion,
this water scalds the skin of Undead and Hollows.

In the old capital of Mirrah, an ancient,
well-protected spring produces holy water,
but the water has been difficult to acquire
ever since Mirrah became embroiled in war."
376,##Pendant,No effect,"This faintly warm medal,
engraved with the symbol of the Sun,
is the ultimate honor,
awarded to shoe who summon
the Warrior of Sunlight and complete a goal.

The symbol represents Lord Gwyn's firstborn,
who lost his deity status and
was expunged from the annals.
But the old God of War still
watches closely over his warriors."
441,##Spirit Amethyst,Spirit flies out to seek foes in other worlds,"Online play item.
Purple crystal inhabited by spirits.

Spirits soar to seek enemies from other worlds,
conforming to the target's color.

Can be used three times,
then regenerated with rest at a bonfire.
What stuff is it that in the purple crystal resides?
Perhaps cinders of Undead, sacrificed to the bonfire.
Or perhaps the vengeful spirits of those
who fell to foes from distant worlds."
450,##Oozing Charm Berry,Temporarily boosts magic/fire defence,"A blue berry emitting a faint magic.
Temporarily boosts magic/fire defence.

When the magic contained in
the berry permeates the body,
it protects the user from magic and fire."
451,##Oozing Flash Berry,Temporarily boosts dark/lightning defence,"A yellow berry emitting a faint magic.
Temporarily boosts dark/lightning defence.

When the magic contained in
the berry permeates the body, 
it protects the user from dark and lightning."
453,##Brightbug,"Inflict more damage, receive less","A tiny bug that produces light.
Brightbugs are said to comfort the dead,
and are found in the marshlands
leading to the Undead Crypt.

By ingesting a brightbug just before death,
the moment at which they glow most brightly,
one attains great power for a short time.
Often utilized as a last-resort for
adventurers who have lost their way.

Has no effect in other worlds or for phantoms."
501,##Ember,Offer embers to an ashen body,"Offering an ember to a body without flame
increases HP as well as abilities.

What remains of an ashen hero
once the fire has gone out?
Honor or ruin?"
1010,##Dragon Scale,Reinforce dragon weapons.,"Dragon scale for reinforcing dragon weapons.
Peeled from an ancient dragon.

A dragon is inseparable from its scales,
and the transcendent apostles,
who seek the perpetuity of the ancient dragons,
have crossed the very end of the earth
to seek this invaluable treasure."
2003,##Bridge Key,Key to the inner part of the bridge,"Key to the inner part of the bridge.

Beyond the great bridge that couldn't possibly
have been made by human hand,
hides a mystery that has yet to be discovered.
Some say that the realm of God awaits, but others…"
2004,##Iron Seal of the Wolf,"Crest opening the way to Fort Faran, home to the Undead Corps","Crest opening the way to Fort Faran,
home to the Undead Corps.

Passed down to cursed undead warriors,
the stench of death still lingers.

Perhaps Freise of Vinheim will have some use for it…"
2101,##Holy Remains,Sinister vessel made from the skull of a noble king,"Sinister vessel made from the skull of a noble king.

Placed on the altar within the catacombs,
but its origins are unclear.

An ominous air emits from the chalice,
gripping the hearts of those who peer at it
as if determined to drag them to the world of the dead."
2121,##Braille Divine Sunlight Tome,Learn miracles of the sun,"A sacred braille tome of sunlight,
written for warriors of the sun covenant.

Give it to a storyteller to learn sun miracles.

Knights of the sunlight covenant are brilliantly
beaming co-operators who volley lightning,
and hand out medals before
disappearing into the sunset."
2136,##Gwyndolin's Finger,Ruined finger of Dark Sun Gwyndolin,"Ruined finger of Dark Sun Gwyndolin.

The young crossbreed girl loved her brother,
of whom all that remains is this ruined finger.

Even so, her love for him will never falter…"
620,##Proof of a Pact,Briefly summon the eccentric Silver Knight Ledo,"Proof of a pact, employed by the Judicator Giant.
Briefly summons the eccentric Silver Knight Ledo.

Most bound by the Judicator's pact are
not willing but rather impelled.
Yet a rare few are linked to the giant by mutual friendship.

This is a precious corroboration of such amiability,
and the only one that manifested in physical form."
